Time Step,Input (u),State (x),Output (y),Disturbance (ω),System Parameter A,System Parameter B,System Parameter C,System Parameter D
0,-0.13965536547881108,-1.3843853946824924,-0.22545590013341066,0.4935501555589358,0.6003030472199218,0.429900051821656,-0.9373200141901188,0.3662728881139009
1,-0.9879128106289168,-0.29071084552636384,0.11784283393322181,0.12466435675211518,0.8352913224819638,-0.15025485847159437,-0.9363155250615633,-0.23489087670094566
2,0.06633612053930027,0.3604945242109654,-0.6076666880817025,0.2711068156429429,1.1808119593256463,-0.1869272641638099,0.632723951583819,0.0019034051373505445
3,0.8090047205364788,1.928259654360338,-0.5707131670157748,-0.3985944963050859,1.2311383624033243,-0.21575024011014676,0.057415956331656526,-0.487883937207501
4,0.035634172362458916,1.6253868112196934,-0.3413222460316405,-0.4992295040118131,1.1954637861239432,0.05082398568099511,0.6065320572301847,0.24208579822309795
5,-0.809401276768654,0.4440274386121845,0.20124775881087698,-0.319308729940615,0.9863616073099296,-0.49016502100746606,-0.2030916107157521,-0.4948991082005125
6,-0.7881634245286611,-0.2056309978748554,-0.17948862779631325,0.22479383044641643,0.6865995026453247,0.4813410419676547,0.30142518416936315,-0.1596747765459232
7,0.3914088658873516,1.7085556882961952,-0.7467270835215738,0.17505870273811575,0.5853107847565311,0.3582021132602248,0.1988886973350643,-0.1703378585488028
8,0.4791024389779086,1.6781030981707272,-0.013873254821475278,0.4794127806739059,1.1432610694772154,0.22825677203445804,-0.385178649670072,0.11532126513381813
9,0.3953944890368366,-0.8160420309658294,0.19941020411983335,-0.3520208792985301,0.5839038258662653,-0.0539556166782611,-0.48995626578923,-0.1835426122130397
10,0.973581030452392,0.9106708557694674,-0.8551865397946026,0.022332583381902138,0.7612068013789771,-0.43616856017117434,-0.4048829449458393,0.31779056573375375
11,-0.06189756940121116,0.8230594769256694,0.4393242012293017,-0.12025066584404565,1.2525118912075763,-0.14368553507133996,-0.4790732082931597,-0.16527024185869588
12,-0.5883410303521857,0.3263252357906601,0.3468249291159855,-0.11869962418674751,1.0787867689351696,-0.1286633885466364,-0.6142882295957233,0.13064660572632436
13,-0.5095535463949294,0.860346020671733,-0.41997062013715447,0.21209296711996273,1.1955065323978444,0.3639573887583797,0.41846089859354585,0.32324597322502224
14,0.39199949505672005,0.4624919268393821,-0.7354911754091886,-0.31662971194943956,0.7460066069895752,0.3660552698989672,-0.8404273295201827,0.33790127343829757
15,0.7010671518307268,1.3957292665100067,-0.5546432134435666,0.21528543504959297,0.821707740576832,0.142151142531603,-0.8642517074392542,0.48505469682059954
16,-0.6579236028741047,0.06979750555972508,0.8332623360959273,0.1900615798712243,0.8999046380881609,0.34854746074988985,0.48318523950000847,0.3505862106768656
17,0.25903690006854174,-1.0652332613057243,-0.033600248433486746,-0.0813429726133561,1.0765439134028933,-0.48085748491576796,-0.33241784086627413,-0.21519472566075604
18,0.40689257712896043,-0.2014354409496204,-0.6461979971834626,0.42303693768561557,1.0649941776400835,0.36217935262887846,-0.4960550627671192,0.20605747566156918
19,-0.30371609363831253,1.0193375049068654,-0.13451650118781222,-0.21294614370587384,0.74124197623273,0.15610199508303213,-0.9841950209441592,-0.36762232746070733
20,-0.29824246367336604,1.2099438910237947,0.48429221329806604,-0.11915132395185957,1.0717069632236238,-0.4144129391245215,-0.4688314548618089,-0.2022674196183527
21,0.3868963457875594,0.24312105006850393,-0.8775506919016725,0.19252071623988976,1.4274939333734087,0.16001775775044735,0.9360494762474656,0.2745974560364173
22,-0.6979642177516625,1.113517733146855,-0.5727873079163868,-0.33276516236007925,1.1377422344995782,0.31645324502204253,0.7980088046471161,0.23377866132988068
23,-0.8021319734322951,0.2955950009338304,-0.004521975711301973,0.3270013347827353,0.5813849037689935,-0.28648274247299166,0.9723796489960475,0.4250600198858209
24,0.48267990045914444,1.3357743867359675,-0.3506854959973065,0.48499151464165824,1.3822874228355881,0.08305074011387814,-0.4218049164025788,-0.10330860200146486
25,0.19030576465715998,0.6946201701965555,-0.33238127270279016,0.24118457426288242,1.3894443495179045,0.15547531622792055,0.9465776462647848,-0.43756746614899156
26,-0.06608951868494217,-0.509126925917744,-0.5016757800479481,-0.17453383445248094,0.8398910316184401,0.43301693075513537,-0.25697538724761504,0.30123330858626396
27,0.15519141022455973,0.09821788600885029,0.039975814414216826,0.15103138542739825,0.7786709561994352,-0.07820910760285804,-0.8657584586646279,0.3211403552167609
28,0.7002154207822049,-0.49481126340942483,0.6463748487365404,-0.14116286766827302,1.430087743259091,0.06019177248023122,-0.49941172578782833,-0.3821433385913888
